Consumed: Hi 7 @ 1589752425754 Partition: 0, Offset: 1120, By ThreadID: 12
Consumed: Hi 991 @ 1589752435968 Partition: 1, Offset: 1135, By ThreadID: 13
Consumed: Hi 890 @ 1589752434931 Partition: 0, Offset: 1197, By ThreadID: 12
Consumed: Hi 794 @ 1589752433943 Partition: 2, Offset: 1137, By ThreadID: 14
Consumed: Hi 817 @ 1589752434179 Partition: 2, Offset: 1138, By ThreadID: 14
Consumed: Hi 995 @ 1589752436008 Partition: 1, Offset: 1136, By ThreadID: 13
Consumed: Hi 915 @ 1589752435189 Partition: 3, Offset: 1178, By ThreadID: 15
Consumed: Hi 998 @ 1589752436039 Partition: 1, Offset: 1137, By ThreadID: 13
Consumed: Hi 892 @ 1589752434952 Partition: 0, Offset: 1198, By ThreadID: 12
Consumed: Hi 17 @ 1589752425862 Partition: 5, Offset: 1115, By ThreadID: 13
Consumed: Hi 833 @ 1589752434344 Partition: 2, Offset: 1139, By ThreadID: 14
Consumed: Hi 924 @ 1589752435282 Partition: 3, Offset: 1179, By ThreadID: 15
Consumed: Hi 854 @ 1589752434560 Partition: 2, Offset: 1140, By ThreadID: 14
Consumed: Hi 857 @ 1589752434590 Partition: 2, Offset: 1141, By ThreadID: 14
Consumed: Hi 929 @ 1589752435333 Partition: 3, Offset: 1180, By ThreadID: 15
Consumed: Hi 875 @ 1589752434777 Partition: 2, Offset: 1142, By ThreadID: 14
Consumed: Hi 893 @ 1589752434962 Partition: 2, Offset: 1143, By ThreadID: 14
Consumed: Hi 26 @ 1589752425958 Partition: 5, Offset: 1116, By ThreadID: 13
Consumed: Hi 901 @ 1589752435045 Partition: 0, Offset: 1199, By ThreadID: 12
Consumed: Hi 939 @ 1589752435437 Partition: 3, Offset: 1181, By ThreadID: 15
Consumed: Hi 959 @ 1589752435643 Partition: 3, Offset: 1182, By ThreadID: 15
Consumed: Hi 902 @ 1589752435055 Partition: 2, Offset: 1144, By ThreadID: 14
Consumed: Hi 41 @ 1589752426118 Partition: 5, Offset: 1117, By ThreadID: 13
Consumed: Hi 904 @ 1589752435075 Partition: 0, Offset: 1200, By ThreadID: 12
Consumed: Hi 965 @ 1589752435704 Partition: 3, Offset: 1183, By ThreadID: 15
Consumed: Hi 911 @ 1589752435148 Partition: 0, Offset: 1201, By ThreadID: 12
Consumed: Hi 914 @ 1589752435179 Partition: 2, Offset: 1145, By ThreadID: 14
Consumed: Hi 74 @ 1589752426469 Partition: 5, Offset: 1118, By ThreadID: 13
Consumed: Hi 968 @ 1589752435735 Partition: 3, Offset: 1184, By ThreadID: 15
Consumed: Hi 919 @ 1589752435230 Partition: 0, Offset: 1202, By ThreadID: 12
Consumed: Hi 85 @ 1589752426585 Partition: 5, Offset: 1119, By ThreadID: 13
Consumed: Hi 917 @ 1589752435210 Partition: 2, Offset: 1146, By ThreadID: 14
Consumed: Hi 955 @ 1589752435602 Partition: 2, Offset: 1147, By ThreadID: 14
Consumed: Hi 88 @ 1589752426617 Partition: 5, Offset: 1120, By ThreadID: 13
Consumed: Hi 97 @ 1589752426712 Partition: 5, Offset: 1121, By ThreadID: 13
Consumed: Hi 922 @ 1589752435261 Partition: 0, Offset: 1203, By ThreadID: 12
Consumed: Hi 982 @ 1589752435876 Partition: 2, Offset: 1148, By ThreadID: 14
Consumed: Hi 103 @ 1589752426776 Partition: 5, Offset: 1122, By ThreadID: 13
Consumed: Hi 926 @ 1589752435302 Partition: 0, Offset: 1204, By ThreadID: 12
Consumed: Hi 109 @ 1589752426840 Partition: 5, Offset: 1123, By ThreadID: 13
Consumed: Hi 935 @ 1589752435395 Partition: 0, Offset: 1205, By ThreadID: 12
Consumed: Hi 128 @ 1589752427040 Partition: 5, Offset: 1124, By ThreadID: 13
Consumed: Hi 130 @ 1589752427061 Partition: 5, Offset: 1125, By ThreadID: 13
Consumed: Hi 141 @ 1589752427177 Partition: 5, Offset: 1126, By ThreadID: 13
Consumed: Hi 937 @ 1589752435416 Partition: 0, Offset: 1206, By ThreadID: 12
Consumed: Hi 145 @ 1589752427219 Partition: 5, Offset: 1127, By ThreadID: 13
Consumed: Hi 940 @ 1589752435447 Partition: 0, Offset: 1207, By ThreadID: 12
Consumed: Hi 149 @ 1589752427260 Partition: 5, Offset: 1128, By ThreadID: 13
Consumed: Hi 151 @ 1589752427281 Partition: 5, Offset: 1129, By ThreadID: 13
Consumed: Hi 942 @ 1589752435468 Partition: 0, Offset: 1208, By ThreadID: 12
Consumed: Hi 156 @ 1589752427333 Partition: 5, Offset: 1130, By ThreadID: 13
Consumed: Hi 173 @ 1589752427507 Partition: 5, Offset: 1131, By ThreadID: 13
Consumed: Hi 947 @ 1589752435520 Partition: 0, Offset: 1209, By ThreadID: 12
Consumed: Hi 969 @ 1589752435745 Partition: 0, Offset: 1210, By ThreadID: 12
Consumed: Hi 974 @ 1589752435795 Partition: 0, Offset: 1211, By ThreadID: 12
Consumed: Hi 185 @ 1589752427631 Partition: 5, Offset: 1132, By ThreadID: 13
Consumed: Hi 989 @ 1589752435947 Partition: 0, Offset: 1212, By ThreadID: 12
Consumed: Hi 996 @ 1589752436018 Partition: 0, Offset: 1213, By ThreadID: 12
Consumed: Hi 188 @ 1589752427661 Partition: 5, Offset: 1133, By ThreadID: 13
Consumed: Hi 12 @ 1589752425808 Partition: 4, Offset: 1064, By ThreadID: 12
Consumed: Hi 190 @ 1589752427682 Partition: 5, Offset: 1134, By ThreadID: 13
Consumed: Hi 19 @ 1589752425883 Partition: 4, Offset: 1065, By ThreadID: 12
Consumed: Hi 198 @ 1589752427765 Partition: 5, Offset: 1135, By ThreadID: 13
Consumed: Hi 201 @ 1589752427796 Partition: 5, Offset: 1136, By ThreadID: 13
Consumed: Hi 31 @ 1589752426011 Partition: 4, Offset: 1066, By ThreadID: 12
Consumed: Hi 36 @ 1589752426064 Partition: 4, Offset: 1067, By ThreadID: 12
Consumed: Hi 218 @ 1589752427972 Partition: 5, Offset: 1137, By ThreadID: 13
Consumed: Hi 38 @ 1589752426086 Partition: 4, Offset: 1068, By ThreadID: 12
Consumed: Hi 223 @ 1589752428025 Partition: 5, Offset: 1138, By ThreadID: 13
Consumed: Hi 40 @ 1589752426107 Partition: 4, Offset: 1069, By ThreadID: 12
Consumed: Hi 243 @ 1589752428231 Partition: 5, Offset: 1139, By ThreadID: 13
Consumed: Hi 49 @ 1589752426203 Partition: 4, Offset: 1070, By ThreadID: 12
Consumed: Hi 274 @ 1589752428552 Partition: 5, Offset: 1140, By ThreadID: 13
Consumed: Hi 53 @ 1589752426245 Partition: 4, Offset: 1071, By ThreadID: 12
Consumed: Hi 92 @ 1589752426659 Partition: 4, Offset: 1072, By ThreadID: 12
Consumed: Hi 280 @ 1589752428614 Partition: 5, Offset: 1141, By ThreadID: 13
Consumed: Hi 101 @ 1589752426755 Partition: 4, Offset: 1073, By ThreadID: 12
Consumed: Hi 330 @ 1589752429135 Partition: 5, Offset: 1142, By ThreadID: 13
Consumed: Hi 335 @ 1589752429186 Partition: 5, Offset: 1143, By ThreadID: 13
Consumed: Hi 124 @ 1589752426998 Partition: 4, Offset: 1074, By ThreadID: 12
Consumed: Hi 343 @ 1589752429268 Partition: 5, Offset: 1144, By ThreadID: 13
Consumed: Hi 133 @ 1589752427092 Partition: 4, Offset: 1075, By ThreadID: 12
Consumed: Hi 383 @ 1589752429685 Partition: 5, Offset: 1145, By ThreadID: 13
Consumed: Hi 393 @ 1589752429792 Partition: 5, Offset: 1146, By ThreadID: 13
Consumed: Hi 407 @ 1589752429937 Partition: 5, Offset: 1147, By ThreadID: 13
Consumed: Hi 158 @ 1589752427354 Partition: 4, Offset: 1076, By ThreadID: 12
Consumed: Hi 413 @ 1589752429999 Partition: 5, Offset: 1148, By ThreadID: 13
Consumed: Hi 169 @ 1589752427466 Partition: 4, Offset: 1077, By ThreadID: 12
Consumed: Hi 178 @ 1589752427558 Partition: 4, Offset: 1078, By ThreadID: 12
Consumed: Hi 419 @ 1589752430062 Partition: 5, Offset: 1149, By ThreadID: 13
Consumed: Hi 199 @ 1589752427775 Partition: 4, Offset: 1079, By ThreadID: 12
Consumed: Hi 446 @ 1589752430343 Partition: 5, Offset: 1150, By ThreadID: 13
Consumed: Hi 451 @ 1589752430395 Partition: 5, Offset: 1151, By ThreadID: 13
Consumed: Hi 203 @ 1589752427817 Partition: 4, Offset: 1080, By ThreadID: 12
Consumed: Hi 457 @ 1589752430458 Partition: 5, Offset: 1152, By ThreadID: 13
Consumed: Hi 209 @ 1589752427879 Partition: 4, Offset: 1081, By ThreadID: 12
Consumed: Hi 475 @ 1589752430645 Partition: 5, Offset: 1153, By ThreadID: 13
Consumed: Hi 220 @ 1589752427993 Partition: 4, Offset: 1082, By ThreadID: 12
Consumed: Hi 485 @ 1589752430749 Partition: 5, Offset: 1154, By ThreadID: 13
Consumed: Hi 498 @ 1589752430884 Partition: 5, Offset: 1155, By ThreadID: 13
Consumed: Hi 225 @ 1589752428046 Partition: 4, Offset: 1083, By ThreadID: 12
Consumed: Hi 515 @ 1589752431064 Partition: 5, Offset: 1156, By ThreadID: 13
Consumed: Hi 231 @ 1589752428108 Partition: 4, Offset: 1084, By ThreadID: 12
Consumed: Hi 518 @ 1589752431095 Partition: 5, Offset: 1157, By ThreadID: 13
Consumed: Hi 240 @ 1589752428200 Partition: 4, Offset: 1085, By ThreadID: 12
Consumed: Hi 255 @ 1589752428356 Partition: 4, Offset: 1086, By ThreadID: 12
Consumed: Hi 523 @ 1589752431147 Partition: 5, Offset: 1158, By ThreadID: 13
Consumed: Hi 267 @ 1589752428479 Partition: 4, Offset: 1087, By ThreadID: 12
Consumed: Hi 528 @ 1589752431199 Partition: 5, Offset: 1159, By ThreadID: 13
Consumed: Hi 532 @ 1589752431241 Partition: 5, Offset: 1160, By ThreadID: 13
Consumed: Hi 270 @ 1589752428510 Partition: 4, Offset: 1088, By ThreadID: 12
Consumed: Hi 545 @ 1589752431375 Partition: 5, Offset: 1161, By ThreadID: 13
Consumed: Hi 550 @ 1589752431426 Partition: 5, Offset: 1162, By ThreadID: 13
Consumed: Hi 555 @ 1589752431477 Partition: 5, Offset: 1163, By ThreadID: 13
Consumed: Hi 289 @ 1589752428708 Partition: 4, Offset: 1089, By ThreadID: 12
Consumed: Hi 316 @ 1589752428989 Partition: 4, Offset: 1090, By ThreadID: 12
Consumed: Hi 562 @ 1589752431550 Partition: 5, Offset: 1164, By ThreadID: 13
Consumed: Hi 326 @ 1589752429093 Partition: 4, Offset: 1091, By ThreadID: 12
Consumed: Hi 568 @ 1589752431612 Partition: 5, Offset: 1165, By ThreadID: 13
Consumed: Hi 339 @ 1589752429227 Partition: 4, Offset: 1092, By ThreadID: 12
Consumed: Hi 570 @ 1589752431633 Partition: 5, Offset: 1166, By ThreadID: 13
Consumed: Hi 573 @ 1589752431664 Partition: 5, Offset: 1167, By ThreadID: 13
Consumed: Hi 353 @ 1589752429372 Partition: 4, Offset: 1093, By ThreadID: 12
Consumed: Hi 367 @ 1589752429518 Partition: 4, Offset: 1094, By ThreadID: 12
Consumed: Hi 391 @ 1589752429771 Partition: 4, Offset: 1095, By ThreadID: 12
Consumed: Hi 581 @ 1589752431747 Partition: 5, Offset: 1168, By ThreadID: 13
Consumed: Hi 397 @ 1589752429834 Partition: 4, Offset: 1096, By ThreadID: 12
Consumed: Hi 420 @ 1589752430072 Partition: 4, Offset: 1097, By ThreadID: 12
Consumed: Hi 588 @ 1589752431819 Partition: 5, Offset: 1169, By ThreadID: 13
Consumed: Hi 590 @ 1589752431840 Partition: 5, Offset: 1170, By ThreadID: 13
Consumed: Hi 428 @ 1589752430155 Partition: 4, Offset: 1098, By ThreadID: 12
Consumed: Hi 599 @ 1589752431934 Partition: 5, Offset: 1171, By ThreadID: 13
Consumed: Hi 431 @ 1589752430186 Partition: 4, Offset: 1099, By ThreadID: 12
Consumed: Hi 603 @ 1589752431975 Partition: 5, Offset: 1172, By ThreadID: 13
Consumed: Hi 444 @ 1589752430322 Partition: 4, Offset: 1100, By ThreadID: 12
Consumed: Hi 630 @ 1589752432256 Partition: 5, Offset: 1173, By ThreadID: 13
Consumed: Hi 471 @ 1589752430604 Partition: 4, Offset: 1101, By ThreadID: 12
Consumed: Hi 633 @ 1589752432286 Partition: 5, Offset: 1174, By ThreadID: 13
Consumed: Hi 494 @ 1589752430843 Partition: 4, Offset: 1102, By ThreadID: 12
Consumed: Hi 647 @ 1589752432429 Partition: 5, Offset: 1175, By ThreadID: 13
Consumed: Hi 502 @ 1589752430925 Partition: 4, Offset: 1103, By ThreadID: 12
Consumed: Hi 654 @ 1589752432500 Partition: 5, Offset: 1176, By ThreadID: 13
Consumed: Hi 525 @ 1589752431168 Partition: 4, Offset: 1104, By ThreadID: 12
Consumed: Hi 551 @ 1589752431436 Partition: 4, Offset: 1105, By ThreadID: 12
Consumed: Hi 662 @ 1589752432581 Partition: 5, Offset: 1177, By ThreadID: 13
Consumed: Hi 664 @ 1589752432602 Partition: 5, Offset: 1178, By ThreadID: 13
Consumed: Hi 561 @ 1589752431539 Partition: 4, Offset: 1106, By ThreadID: 12
Consumed: Hi 677 @ 1589752432735 Partition: 5, Offset: 1179, By ThreadID: 13
Consumed: Hi 566 @ 1589752431591 Partition: 4, Offset: 1107, By ThreadID: 12
Consumed: Hi 690 @ 1589752432870 Partition: 5, Offset: 1180, By ThreadID: 13
Consumed: Hi 574 @ 1589752431674 Partition: 4, Offset: 1108, By ThreadID: 12
Consumed: Hi 577 @ 1589752431705 Partition: 4, Offset: 1109, By ThreadID: 12
Consumed: Hi 700 @ 1589752432974 Partition: 5, Offset: 1181, By ThreadID: 13
Consumed: Hi 704 @ 1589752433015 Partition: 5, Offset: 1182, By ThreadID: 13
Consumed: Hi 585 @ 1589752431788 Partition: 4, Offset: 1110, By ThreadID: 12
Consumed: Hi 589 @ 1589752431830 Partition: 4, Offset: 1111, By ThreadID: 12
Consumed: Hi 631 @ 1589752432266 Partition: 4, Offset: 1112, By ThreadID: 12
Consumed: Hi 710 @ 1589752433077 Partition: 5, Offset: 1183, By ThreadID: 13
Consumed: Hi 642 @ 1589752432378 Partition: 4, Offset: 1113, By ThreadID: 12
Consumed: Hi 712 @ 1589752433098 Partition: 5, Offset: 1184, By ThreadID: 13
Consumed: Hi 657 @ 1589752432530 Partition: 4, Offset: 1114, By ThreadID: 12
Consumed: Hi 734 @ 1589752433324 Partition: 5, Offset: 1185, By ThreadID: 13
Consumed: Hi 751 @ 1589752433499 Partition: 5, Offset: 1186, By ThreadID: 13
Consumed: Hi 665 @ 1589752432612 Partition: 4, Offset: 1115, By ThreadID: 12
Consumed: Hi 719 @ 1589752433170 Partition: 4, Offset: 1116, By ThreadID: 12
Consumed: Hi 754 @ 1589752433530 Partition: 5, Offset: 1187, By ThreadID: 13
Consumed: Hi 767 @ 1589752433665 Partition: 5, Offset: 1188, By ThreadID: 13
Consumed: Hi 769 @ 1589752433685 Partition: 5, Offset: 1189, By ThreadID: 13
Consumed: Hi 724 @ 1589752433221 Partition: 4, Offset: 1117, By ThreadID: 12
Consumed: Hi 779 @ 1589752433788 Partition: 5, Offset: 1190, By ThreadID: 13
Consumed: Hi 745 @ 1589752433438 Partition: 4, Offset: 1118, By ThreadID: 12
Consumed: Hi 787 @ 1589752433871 Partition: 5, Offset: 1191, By ThreadID: 13
Consumed: Hi 762 @ 1589752433613 Partition: 4, Offset: 1119, By ThreadID: 12
Consumed: Hi 766 @ 1589752433654 Partition: 4, Offset: 1120, By ThreadID: 12
Consumed: Hi 818 @ 1589752434189 Partition: 5, Offset: 1192, By ThreadID: 13
Consumed: Hi 822 @ 1589752434230 Partition: 5, Offset: 1193, By ThreadID: 13
Consumed: Hi 770 @ 1589752433696 Partition: 4, Offset: 1121, By ThreadID: 12
Consumed: Hi 828 @ 1589752434292 Partition: 5, Offset: 1194, By ThreadID: 13
Consumed: Hi 849 @ 1589752434508 Partition: 5, Offset: 1195, By ThreadID: 13
Consumed: Hi 855 @ 1589752434570 Partition: 5, Offset: 1196, By ThreadID: 13
Consumed: Hi 880 @ 1589752434828 Partition: 5, Offset: 1197, By ThreadID: 13
Consumed: Hi 916 @ 1589752435199 Partition: 5, Offset: 1198, By ThreadID: 13
Consumed: Hi 921 @ 1589752435251 Partition: 5, Offset: 1199, By ThreadID: 13
Consumed: Hi 933 @ 1589752435375 Partition: 5, Offset: 1200, By ThreadID: 13
Consumed: Hi 938 @ 1589752435426 Partition: 5, Offset: 1201, By ThreadID: 13
Consumed: Hi 949 @ 1589752435540 Partition: 5, Offset: 1202, By ThreadID: 13
Consumed: Hi 953 @ 1589752435581 Partition: 5, Offset: 1203, By ThreadID: 13
Consumed: Hi 960 @ 1589752435653 Partition: 5, Offset: 1204, By ThreadID: 13
Consumed: Hi 963 @ 1589752435684 Partition: 5, Offset: 1205, By ThreadID: 13
Consumed: Hi 987 @ 1589752435927 Partition: 5, Offset: 1206, By ThreadID: 13
Consumed: Hi 993 @ 1589752435988 Partition: 5, Offset: 1207, By ThreadID: 13
Consumed: Hi 14 @ 1589752425829 Partition: 6, Offset: 1124, By ThreadID: 14
Consumed: Hi 4 @ 1589752425723 Partition: 9, Offset: 1095, By ThreadID: 13
Consumed: Hi 6 @ 1589752425744 Partition: 7, Offset: 1077, By ThreadID: 15
Consumed: Hi 776 @ 1589752433758 Partition: 4, Offset: 1122, By ThreadID: 12
Consumed: Hi 22 @ 1589752425915 Partition: 7, Offset: 1078, By ThreadID: 15
Consumed: Hi 20 @ 1589752425894 Partition: 9, Offset: 1096, By ThreadID: 13
Consumed: Hi 39 @ 1589752426096 Partition: 6, Offset: 1125, By ThreadID: 14
Consumed: Hi 27 @ 1589752425969 Partition: 9, Offset: 1097, By ThreadID: 13
Consumed: Hi 778 @ 1589752433778 Partition: 4, Offset: 1123, By ThreadID: 12
Consumed: Hi 25 @ 1589752425947 Partition: 7, Offset: 1079, By ThreadID: 15
Consumed: Hi 60 @ 1589752426320 Partition: 9, Offset: 1098, By ThreadID: 13
Consumed: Hi 80 @ 1589752426533 Partition: 6, Offset: 1126, By ThreadID: 14
Consumed: Hi 44 @ 1589752426150 Partition: 7, Offset: 1080, By ThreadID: 15
Consumed: Hi 786 @ 1589752433861 Partition: 4, Offset: 1124, By ThreadID: 12
Consumed: Hi 94 @ 1589752426681 Partition: 6, Offset: 1127, By ThreadID: 14
Consumed: Hi 91 @ 1589752426649 Partition: 9, Offset: 1099, By ThreadID: 13
Consumed: Hi 789 @ 1589752433891 Partition: 4, Offset: 1125, By ThreadID: 12
Consumed: Hi 115 @ 1589752426903 Partition: 6, Offset: 1128, By ThreadID: 14
Consumed: Hi 95 @ 1589752426691 Partition: 9, Offset: 1100, By ThreadID: 13
Consumed: Hi 813 @ 1589752434138 Partition: 4, Offset: 1126, By ThreadID: 12
Consumed: Hi 820 @ 1589752434210 Partition: 4, Offset: 1127, By ThreadID: 12
Consumed: Hi 104 @ 1589752426787 Partition: 9, Offset: 1101, By ThreadID: 13
Consumed: Hi 57 @ 1589752426288 Partition: 7, Offset: 1081, By ThreadID: 15
Consumed: Hi 126 @ 1589752427019 Partition: 6, Offset: 1129, By ThreadID: 14
Consumed: Hi 826 @ 1589752434272 Partition: 4, Offset: 1128, By ThreadID: 12
Consumed: Hi 71 @ 1589752426437 Partition: 7, Offset: 1082, By ThreadID: 15
Consumed: Hi 73 @ 1589752426458 Partition: 7, Offset: 1083, By ThreadID: 15
Consumed: Hi 846 @ 1589752434477 Partition: 4, Offset: 1129, By ThreadID: 12
Consumed: Hi 113 @ 1589752426882 Partition: 9, Offset: 1102, By ThreadID: 13
Consumed: Hi 129 @ 1589752427050 Partition: 9, Offset: 1103, By ThreadID: 13
Consumed: Hi 131 @ 1589752427071 Partition: 6, Offset: 1130, By ThreadID: 14
Consumed: Hi 153 @ 1589752427302 Partition: 6, Offset: 1131, By ThreadID: 14
Consumed: Hi 112 @ 1589752426872 Partition: 7, Offset: 1084, By ThreadID: 15
Consumed: Hi 155 @ 1589752427323 Partition: 6, Offset: 1132, By ThreadID: 14
Consumed: Hi 863 @ 1589752434652 Partition: 4, Offset: 1130, By ThreadID: 12
Consumed: Hi 869 @ 1589752434715 Partition: 4, Offset: 1131, By ThreadID: 12
Consumed: Hi 162 @ 1589752427395 Partition: 9, Offset: 1104, By ThreadID: 13
Consumed: Hi 189 @ 1589752427672 Partition: 6, Offset: 1133, By ThreadID: 14
Consumed: Hi 891 @ 1589752434941 Partition: 4, Offset: 1132, By ThreadID: 12
Consumed: Hi 136 @ 1589752427124 Partition: 7, Offset: 1085, By ThreadID: 15
Consumed: Hi 144 @ 1589752427208 Partition: 7, Offset: 1086, By ThreadID: 15
Consumed: Hi 146 @ 1589752427229 Partition: 7, Offset: 1087, By ThreadID: 15
Consumed: Hi 168 @ 1589752427456 Partition: 9, Offset: 1105, By ThreadID: 13
Consumed: Hi 152 @ 1589752427291 Partition: 7, Offset: 1088, By ThreadID: 15
Consumed: Hi 159 @ 1589752427364 Partition: 7, Offset: 1089, By ThreadID: 15
Consumed: Hi 204 @ 1589752427827 Partition: 6, Offset: 1134, By ThreadID: 14
Consumed: Hi 166 @ 1589752427435 Partition: 7, Offset: 1090, By ThreadID: 15
Consumed: Hi 180 @ 1589752427579 Partition: 9, Offset: 1106, By ThreadID: 13
Consumed: Hi 907 @ 1589752435106 Partition: 4, Offset: 1133, By ThreadID: 12
Consumed: Hi 191 @ 1589752427692 Partition: 9, Offset: 1107, By ThreadID: 13
Consumed: Hi 206 @ 1589752427848 Partition: 6, Offset: 1135, By ThreadID: 14
Consumed: Hi 174 @ 1589752427517 Partition: 7, Offset: 1091, By ThreadID: 15
Consumed: Hi 234 @ 1589752428138 Partition: 6, Offset: 1136, By ThreadID: 14
Consumed: Hi 193 @ 1589752427713 Partition: 9, Offset: 1108, By ThreadID: 13
Consumed: Hi 923 @ 1589752435271 Partition: 4, Offset: 1134, By ThreadID: 12
Consumed: Hi 239 @ 1589752428190 Partition: 6, Offset: 1137, By ThreadID: 14
Consumed: Hi 183 @ 1589752427610 Partition: 7, Offset: 1092, By ThreadID: 15
Consumed: Hi 200 @ 1589752427786 Partition: 9, Offset: 1109, By ThreadID: 13
Consumed: Hi 932 @ 1589752435364 Partition: 4, Offset: 1135, By ThreadID: 12
Consumed: Hi 934 @ 1589752435385 Partition: 4, Offset: 1136, By ThreadID: 12
Consumed: Hi 197 @ 1589752427754 Partition: 7, Offset: 1093, By ThreadID: 15
Consumed: Hi 245 @ 1589752428252 Partition: 6, Offset: 1138, By ThreadID: 14
Consumed: Hi 999 @ 1589752436049 Partition: 4, Offset: 1137, By ThreadID: 12
Consumed: Hi 208 @ 1589752427868 Partition: 9, Offset: 1110, By ThreadID: 13
Consumed: Hi 212 @ 1589752427910 Partition: 7, Offset: 1094, By ThreadID: 15
Consumed: Hi 250 @ 1589752428304 Partition: 6, Offset: 1139, By ThreadID: 14
Consumed: Hi 219 @ 1589752427983 Partition: 9, Offset: 1111, By ThreadID: 13
Consumed: Hi 217 @ 1589752427961 Partition: 7, Offset: 1095, By ThreadID: 15
Consumed: Hi 1 @ 1589752425692 Partition: 8, Offset: 1043, By ThreadID: 12
Consumed: Hi 254 @ 1589752428345 Partition: 6, Offset: 1140, By ThreadID: 14
Consumed: Hi 3 @ 1589752425713 Partition: 8, Offset: 1044, By ThreadID: 12
Consumed: Hi 260 @ 1589752428407 Partition: 6, Offset: 1141, By ThreadID: 14
Consumed: Hi 268 @ 1589752428489 Partition: 6, Offset: 1142, By ThreadID: 14
Consumed: Hi 222 @ 1589752428014 Partition: 9, Offset: 1112, By ThreadID: 13
Consumed: Hi 10 @ 1589752425786 Partition: 8, Offset: 1045, By ThreadID: 12
Consumed: Hi 235 @ 1589752428148 Partition: 7, Offset: 1096, By ThreadID: 15
Consumed: Hi 247 @ 1589752428273 Partition: 7, Offset: 1097, By ThreadID: 15
Consumed: Hi 238 @ 1589752428179 Partition: 9, Offset: 1113, By ThreadID: 13
Consumed: Hi 285 @ 1589752428666 Partition: 6, Offset: 1143, By ThreadID: 14
Consumed: Hi 30 @ 1589752426001 Partition: 8, Offset: 1046, By ThreadID: 12
Consumed: Hi 32 @ 1589752426022 Partition: 8, Offset: 1047, By ThreadID: 12
Consumed: Hi 242 @ 1589752428221 Partition: 9, Offset: 1114, By ThreadID: 13
Consumed: Hi 34 @ 1589752426043 Partition: 8, Offset: 1048, By ThreadID: 12
Consumed: Hi 248 @ 1589752428283 Partition: 9, Offset: 1115, By ThreadID: 13
Consumed: Hi 292 @ 1589752428739 Partition: 6, Offset: 1144, By ThreadID: 14
Consumed: Hi 263 @ 1589752428438 Partition: 7, Offset: 1098, By ThreadID: 15
Consumed: Hi 45 @ 1589752426160 Partition: 8, Offset: 1049, By ThreadID: 12
Consumed: Hi 261 @ 1589752428417 Partition: 9, Offset: 1116, By ThreadID: 13
Consumed: Hi 64 @ 1589752426363 Partition: 8, Offset: 1050, By ThreadID: 12
Consumed: Hi 300 @ 1589752428822 Partition: 6, Offset: 1145, By ThreadID: 14
Consumed: Hi 66 @ 1589752426384 Partition: 8, Offset: 1051, By ThreadID: 12
Consumed: Hi 306 @ 1589752428885 Partition: 6, Offset: 1146, By ThreadID: 14
Consumed: Hi 301 @ 1589752428832 Partition: 9, Offset: 1117, By ThreadID: 13
Consumed: Hi 278 @ 1589752428593 Partition: 7, Offset: 1099, By ThreadID: 15
Consumed: Hi 68 @ 1589752426405 Partition: 8, Offset: 1052, By ThreadID: 12
Consumed: Hi 313 @ 1589752428958 Partition: 6, Offset: 1147, By ThreadID: 14
Consumed: Hi 331 @ 1589752429145 Partition: 9, Offset: 1118, By ThreadID: 13
Consumed: Hi 336 @ 1589752429197 Partition: 9, Offset: 1119, By ThreadID: 13
Consumed: Hi 281 @ 1589752428624 Partition: 7, Offset: 1100, By ThreadID: 15
Consumed: Hi 284 @ 1589752428656 Partition: 7, Offset: 1101, By ThreadID: 15
Consumed: Hi 346 @ 1589752429299 Partition: 9, Offset: 1120, By ThreadID: 13
Consumed: Hi 329 @ 1589752429125 Partition: 6, Offset: 1148, By ThreadID: 14
Consumed: Hi 338 @ 1589752429217 Partition: 6, Offset: 1149, By ThreadID: 14
Consumed: Hi 351 @ 1589752429351 Partition: 9, Offset: 1121, By ThreadID: 13
Consumed: Hi 89 @ 1589752426628 Partition: 8, Offset: 1053, By ThreadID: 12
Consumed: Hi 375 @ 1589752429602 Partition: 9, Offset: 1122, By ThreadID: 13
Consumed: Hi 105 @ 1589752426797 Partition: 8, Offset: 1054, By ThreadID: 12
Consumed: Hi 350 @ 1589752429340 Partition: 6, Offset: 1150, By ThreadID: 14
Consumed: Hi 385 @ 1589752429709 Partition: 9, Offset: 1123, By ThreadID: 13
Consumed: Hi 294 @ 1589752428759 Partition: 7, Offset: 1102, By ThreadID: 15
Consumed: Hi 401 @ 1589752429875 Partition: 9, Offset: 1124, By ThreadID: 13
Consumed: Hi 354 @ 1589752429383 Partition: 6, Offset: 1151, By ThreadID: 14
Consumed: Hi 309 @ 1589752428916 Partition: 7, Offset: 1103, By ThreadID: 15
Consumed: Hi 108 @ 1589752426829 Partition: 8, Offset: 1055, By ThreadID: 12
Consumed: Hi 319 @ 1589752429020 Partition: 7, Offset: 1104, By ThreadID: 15
Consumed: Hi 114 @ 1589752426893 Partition: 8, Offset: 1056, By ThreadID: 12
Consumed: Hi 360 @ 1589752429445 Partition: 7, Offset: 1105, By ThreadID: 15
Consumed: Hi 363 @ 1589752429477 Partition: 6, Offset: 1152, By ThreadID: 14
Consumed: Hi 117 @ 1589752426924 Partition: 8, Offset: 1057, By ThreadID: 12
Consumed: Hi 411 @ 1589752429978 Partition: 9, Offset: 1125, By ThreadID: 13
